id,eta_logV_SAEM,eta_logCl_SAEM,eta_logV_mean,eta_logCl_mean,eta_logV_mode,eta_logCl_mode,eta_logV_sd,eta_logCl_sd
1,-0.103512,0.0154226,-0.108016,0.0105838,-0.106986,0.0130909,0.0298064,0.0207727
2,-0.158051,-0.283751,-0.161809,-0.289727,-0.16344,-0.283998,0.045523,0.0296155
3,-0.0554434,-0.0814011,-0.0454783,-0.0748087,-0.0512701,-0.0782117,0.0333476,0.0250318
4,0.148096,-0.173932,0.140834,-0.174521,0.151839,-0.168626,0.0360965,0.0246336
5,-0.214968,-0.147973,-0.208671,-0.146823,-0.205805,-0.140482,0.0467116,0.0302051
6,-0.218107,0.118574,-0.210152,0.122548,-0.212266,0.123937,0.0298797,0.0218361
7,-0.0915004,-0.0244877,-0.0756364,-0.0156741,-0.0773791,-0.0153274,0.0418092,0.0259096
8,0.238236,-0.355761,0.255179,-0.349024,0.2484,-0.349579,0.0469959,0.0274186
9,-0.164084,0.48604,-0.201259,0.455214,-0.167207,0.483825,0.0391353,0.0294708
10,0.15544,0.608439,0.150361,0.601105,0.148684,0.604402,0.0413301,0.0310299
11,-0.0793411,0.0739004,-0.0867473,0.0681938,-0.0889943,0.0687059,0.0295075,0.0223605
12,-0.204224,0.505389,-0.202074,0.506122,-0.216241,0.495935,0.0229658,0.0187733
13,0.088106,0.141929,0.0979566,0.145102,0.0929413,0.144658,0.0431079,0.0304927
14,0.1042,0.448914,0.0972511,0.442746,0.10152,0.445469,0.0369401,0.0284341
15,0.366102,-0.0995969,0.358154,-0.100745,0.359244,-0.101481,0.0391647,0.0239213
16,-0.436221,0.18205,-0.431362,0.187302,-0.424984,0.194288,0.0245176,0.0203408
17,0.224046,-0.00876201,0.225699,-0.0101553,0.218467,-0.0106302,0.0349135,0.0239181
18,-0.028949,0.145419,-0.0434898,0.137843,-0.028904,0.147361,0.0335706,0.0254892
19,0.103066,-0.000723908,0.078412,-0.0134678,0.0952847,-0.0010466,0.0411902,0.0234205
20,0.24164,-0.201464,0.246002,-0.193199,0.238224,-0.198228,0.0464503,0.0258247
21,0.653898,0.326061,0.647098,0.324866,0.644973,0.327019,0.0415916,0.0218548
22,0.0461055,-0.122842,0.0457795,-0.122257,0.0477044,-0.119509,0.0368095,0.0276366
23,-0.244121,-0.492209,-0.244192,-0.495544,-0.248683,-0.496337,0.0407889,0.0249243
24,-0.555694,-0.229175,-0.534199,-0.212416,-0.542588,-0.217107,0.0459452,0.0346647
25,0.107076,0.127077,0.106284,0.121618,0.104957,0.125109,0.0359345,0.0232258
26,-0.0168046,-0.124978,-0.0244768,-0.126593,-0.0128357,-0.120822,0.0375154,0.0219598
27,0.170739,-0.179201,0.157705,-0.187133,0.16658,-0.180015,0.0405888,0.0271781
28,-0.176782,-0.180516,-0.18557,-0.189426,-0.187699,-0.187685,0.0327749,0.0243255
29,-0.190439,0.032795,-0.179472,0.0411749,-0.186662,0.0366711,0.0294019,0.0240667
30,0.126445,0.10076,0.104193,0.0900486,0.123234,0.103582,0.0349179,0.0238008
31,-0.100769,0.213894,-0.121363,0.20185,-0.107448,0.212537,0.0270235,0.0208122
32,-0.0812864,-0.18524,-0.0750808,-0.187223,-0.0850323,-0.184921,0.0413858,0.0240916
33,-0.401347,-0.37805,-0.396494,-0.37855,-0.409791,-0.384824,0.0334017,0.0230003
34,0.368074,-0.201439,0.362629,-0.20963,0.368536,-0.201687,0.0456731,0.0282041
35,0.554647,-0.418253,0.53836,-0.414072,0.553128,-0.411916,0.0471893,0.0274013
36,-0.349993,-0.125929,-0.335188,-0.116467,-0.340802,-0.117833,0.0301482,0.0256036
37,-0.246391,0.224809,-0.230293,0.233338,-0.238485,0.230695,0.0402541,0.0331475
38,-0.123996,0.488464,-0.116682,0.493529,-0.129493,0.486086,0.0286607,0.0206973
39,0.02672,0.223821,0.0343837,0.230462,0.0241208,0.223674,0.0326278,0.0250221
40,0.59401,-0.108179,0.583003,-0.10841,0.585019,-0.109708,0.0397346,0.0244427
41,0.0768806,-0.14184,0.069798,-0.140683,0.0642951,-0.146141,0.0321996,0.0236748
